-130.0 -235.0,-128.0 271.0
-120.0 -229.0,166.0 -227.0
-114.0 23.0,78.0 21.0
-122.0 269.0,150.0 267.0
123.66650390625 -419.666687011719,23.66650390625 -304.666687011719
